date,url,marketing_segment,page_visits,unique_visitors,return_visitors,bounce_rate,avg_session_duration,conversion_rate,conversions
2024-01-01,https://example.com/product-page,Direct Traffic,107,84,44,0.283,5.72,0.0191,2
2024-01-01,https://example.com/product-page,Display Ads,30,21,1,0.835,1.08,0.0064,0
2024-01-01,https://example.com/product-page,Email Marketing,78,49,11,0.218,5.97,0.0489,2
2024-01-01,https://example.com/product-page,Organic Search,422,303,0,0.415,4.13,0.0202,6
2024-01-01,https://example.com/product-page,Paid Search,190,119,6,0.293,2.38,0.0474,6
2024-01-01,https://example.com/product-page,Referral,50,35,4,0.492,3.21,0.0264,1
2024-01-01,https://example.com/product-page,Social Media,190,136,32,0.719,1.63,0.0138,2
2024-01-01,https://example.com/product-page,Video Ads,20,13,0,0.564,7.58,0.0168,0
2024-01-02,https://example.com/product-page,Direct Traffic,139,105,33,0.307,4.12,0.0203,2
2024-01-02,https://example.com/product-page,Display Ads,34,22,2,0.696,1.61,0.0107,0
2024-01-02,https://example.com/product-page,Email Marketing,65,47,15,0.284,4.14,0.0598,3
2024-01-02,https://example.com/product-page,Organic Search,382,244,61,0.47,3.13,0.0205,5
2024-01-02,https://example.com/product-page,Paid Search,203,123,13,0.418,3.63,0.0319,4
2024-01-02,https://example.com/product-page,Referral,41,28,2,0.431,3.69,0.0161,0
2024-01-02,https://example.com/product-page,Social Media,127,77,22,0.718,2.68,0.0197,2
2024-01-02,https://example.com/product-page,Video Ads,18,12,0,0.431,5.44,0.016,0
2024-01-03,https://example.com/product-page,Direct Traffic,115,81,20,0.27,3.59,0.029,2
2024-01-03,https://example.com/product-page,Display Ads,35,25,2,0.585,1.5,0.0087,0
2024-01-03,https://example.com/product-page,Email Marketing,94,57,29,0.227,5.18,0.0288,2
2024-01-03,https://example.com/product-page,Organic Search,433,267,46,0.443,3.06,0.0242,6
2024-01-03,https://example.com/product-page,Paid Search,173,115,10,0.399,3.19,0.06,7
2024-01-03,https://example.com/product-page,Referral,58,37,2,0.5,2.93,0.0132,0
2024-01-03,https://example.com/product-page,Social Media,144,110,18,0.631,1.7,0.0217,2
2024-01-03,https://example.com/product-page,Video Ads,23,14,0,0.503,5.57,0.0159,0
2024-01-04,https://example.com/product-page,Direct Traffic,166,115,28,0.325,4.67,0.0515,6
2024-01-04,https://example.com/product-page,Display Ads,34,20,0,0.669,1.7,0.0054,0
2024-01-04,https://example.com/product-page,Email Marketing,104,78,28,0.284,5.14,0.0321,3
2024-01-04,https://example.com/product-page,Organic Search,355,274,76,0.428,3.86,0.0129,4
2024-01-04,https://example.com/product-page,Paid Search,223,136,11,0.378,2.19,0.049,7
2024-01-04,https://example.com/product-page,Referral,66,46,7,0.456,4.0,0.0229,1
2024-01-04,https://example.com/product-page,Social Media,167,124,28,0.692,2.64,0.0102,1
2024-01-04,https://example.com/product-page,Video Ads,19,13,0,0.45,6.88,0.0155,0
2024-01-05,https://example.com/product-page,Direct Traffic,153,118,61,0.286,3.2,0.028,3
2024-01-05,https://example.com/product-page,Display Ads,30,19,1,0.778,1.53,0.0051,0
2024-01-05,https://example.com/product-page,Email Marketing,84,65,23,0.249,5.6,0.0415,3
